artista,genero_musical,tipo,nombre,año_lanzamiento,id,popularidad
Anwynn,metal,cancion,Forbidden Songs,2012,1fnFlfgpXFQGEGhplQPOqj,0
Posthum,metal,cancion,Afterglow,2012,3LuNa7JnXiBWDzeQruWGkV,0
Chamber of Torture,metal,cancion,The Strain of Flatliners,2012,1fnv3tV3XSUNWWMXvrH4Yp,0
Naakhum,metal,cancion,Ancient Astronauts,2012,3WryIzKzjT4Xd1AI7mUZZE,0
Gods of Eden,metal,cancion,Shiva's Dream,2012,11hHdjkDNQpvsPl8QFhK3Q,0
Sleeppers,metal,cancion,Skin,2012,5drhOo2KFHKnWaTaoOZcqd,0
Fourth Autumn,metal,cancion,Don't Stop Bereaving,2012,4zBK5eYhuhp4J7RV7Fyb2G,0
Isäntä meidän,metal,cancion,Kääpiöt Tanssii (Live),2012,15Kp4EsJB2zrtobhSsdlcf,0
Ascend,metal,cancion,No Way Back - Johnny Yono Edit,2012,1BRz5jD5SsCjaJ8jpjvnVc,0
Rygel,metal,cancion,Asking for Your Vote,2012,3sHvAe8IjmDVsyarLnIv7F,0
Asgård,metal,cancion,Фараон,2012,6Qn5Guco3ezRJOxfNGxM4c,0
Magnam,metal,cancion,Ruina,2012,7D9ZS05x4Q8sH3oFSxQ9C3,0
Whiteheart,metal,cancion,Hotline,2012,6O7hHk5juAwRJRoOR5XUwJ,0
As Silence Breaks,metal,cancion,Decimate,2012,3IpFDVzToovzR8R0fwte4U,0
Go Go Rise 美好前程,metal,cancion,房間,2012,7fFYg6vMPqfeTWaoENi2b7,0
The Electric Hellfire Club,metal,cancion,Invocation,2012,0D7Ia2bTwz0ZLarZv6BBln,0
Disconnect,metal,cancion,Chapel Of Hate,2012,78bIrHuv1S5V51HKM4TS1J,0
STRYDEGOR,metal,cancion,In the Shadow of Remembrance,2012,1lJlLTHxmOTHJTmFGhOBjA,0
Whiteheart,metal,cancion,Satisfaction Guaranteed,2012,2vvs5SuIFf1DUnG56s7Q8a,0
Supuration,metal,cancion,Beyond the Atrocity (Live),2012,4mIEJSun3HlRig36BmdU85,0
The Black,metal,cancion,Hallow's Victim,2012,4zBRZOUkek113M6bpm5WVp,0
Hemlock,metal,cancion,Overrated,2012,0XBaEsREWWcye01SF9h9hH,1
Wilde Starr,metal,cancion,In Staccata,2012,4SGIuJGWuVmEfl3kBZdV1W,0
Upcdownc,metal,cancion,Dad Rock (Live),2012,3YC24vOkrm6NudajcaDrP4,0
Ñu,metal,cancion,Algunos Musicos Fueron Nosotros,2013,7psJMsu3opaxoOClb4Xwtz,2
Inmoonere,metal,cancion,Un Dia Perfecte Per Morir,2013,6v8rZZdOAHRZKDVVjlcC7O,1
Vita Imana,metal,cancion,Gondwana - Live At Wacken Festival 2010,2013,6hZez8UiGmUnahbud0LckG,1
Inmoonere,metal,cancion,Dígue'm Qui Sóc,2013,6DTFexnJV331Qw38RP0A7N,0
Urtz,metal,cancion,Hutsari Begira,2013,37tbb675GO7B9lnWmEBbMF,1
CHILDRAIN,metal,cancion,In Defiance Of,2013,2icJLRUxqWWv37YUBEhziV,1
Vita Imana,metal,cancion,Paranoia - Live At Wacken Festival 2010,2013,4SRnQqthXLdavQ3TBZc1Jp,1
Vita Imana,metal,cancion,Corpus,2013,1OqXynzxRPmo1L8rpJ7F5D,0
The Brosas,metal,cancion,Falabarato,2013,235Rgr460UywfTvJueAF6p,0
Ósserp,metal,cancion,Segant entre diables,2013,5xM0591lCIjWEzd3UoyOvY,0
Pedro Andrea,metal,cancion,Dr. Feelgood,2013,7sfSukfuF2i1ITgRbD6dUF,0
Os John Deeres,metal,cancion,A Lingua Do Mar,2013,4qDklxaYLTlKCh0uQDABwk,0
Sinaia,metal,cancion,Primera Vez,2013,60eGdzeYGt25vWuFfT4GTZ,0
Dejadeath,metal,cancion,Every Pig Into The Fire,2013,2ANTVAosnST64c0bySGZGr,0
Vorax,metal,cancion,Desapareciendo,2013,3eiZjOP2YFbPxjTDl0pA8u,1
Avalanch,metal,cancion,El ángel Caído,2013,4AzQTAxvWhMI84S9YH2F1s,1
Torben Enevoldsen,metal,cancion,Lost in Space,2013,5uyrorlMIwDKTHL880Dpvt,0
Ministério da Discórdia,metal,cancion,Malditos Sejam Todos,2013,4aLm4j0WNIELUsuxNUlXow,2
Confronto,metal,cancion,Imortal,2013,22Au1oMreqRyyEvxspRh9y,4
Agitator,metal,cancion,Look In The Mirror,2013,5sHa3tKdNk4Rh1HxEvmMSv,1
Angélida,metal,cancion,Alguien,2013,6GTpJ08HsYKDKVk4ffsZCt,0
Vorax,metal,cancion,Como Los Peces,2013,47uUU1Iv9s3Yyj2oyibEgm,1
Vorax,metal,cancion,Reyes De La Ignorancia,2013,18WmxSHcEp2ZKLqoguhQZx,1
Bravura,metal,cancion,Ignorância,2013,0Vcx4W2mrrViq9nL8gtwVx,0
Kraton,metal,cancion,Tyrant,2013,0R7cgVYrjaMcNNF43SzFPm,0
Mark the Hammer,metal,cancion,Ken Il Guerriero [Demo],2013,07baaREBqKUt4OCeX6M5ex,1
Lucid Dreaming,metal,cancion,Where Evil Rides,2013,665O3SqZJBhSr1nkFWoIbg,0
Death Toll Rising,metal,cancion,Revelation Despair,2013,4V6s3gCe83eW7FnH32YCp7,0
Avhath,metal,cancion,A Kind of Certainty,2013,0ns6qZ5VaXas6bI3s1huyH,3
Aeternum Vale,metal,cancion,Into the Depths My Acolyte,2013,6evDgmhIisEnojGjdHajVy,0
Arcane Reality,metal,cancion,Beyond the Sea,2013,2lpRAyDkzh0Z7xabbddKpO,0
Maintower,metal,cancion,Estamos en Guerra,2013,47QTrKA1qDvDaQyJ5iRrro,0
Fusnota,metal,cancion,Под Моите Крила,2013,1X78nKuuNCsOyxRDUbLRKv,0
Reverb Gun,metal,cancion,Silent Cartographer,2013,7kCNOw6ZujGdscVGXrGJiv,0
Enthroning Silence,metal,cancion,Of Torment Towards Fairy Grace - Original Mix,2013,6Q4lI3hPpkkhP240L4vkmm,0
Os Pedrero,metal,cancion,Lúcifer,2013,082pmAljrdxcQzxqvAuSKz,1
Tragodia,metal,cancion,Once in Arcadia,2013,6Q5ICCA1g3L6icNmfe0Ih1,0
Black Pestilence,metal,cancion,Greed for Greed,2013,3T9FxgKWnGsIS4eNGL0MOE,0
Psychocalypse,metal,cancion,Staring As a Wolf,2013,3lmz9wodCxwHNv7lKJrkjW,0
They Came Bearing Arms,metal,cancion,Shadows in the Shapes of Men,2013,4MASMk5VXXMVBOqxhhECD3,1
Spitback,metal,cancion,No I Am Not,2013,4tX4Lzdh2NdUyJBdiFOheg,0
Komah,metal,cancion,Become One,2013,2nAfqcYJSGYpsSFJPQNDj1,0
Logic of Denial,metal,cancion,Reek of Perpetual Infamy,2013,6s96JfbmIc3dsoDarJydoB,0
Sky For Sinners,metal,cancion,Face The Fact,2013,4HPgy4jDe7Byt153Wmg7uM,0
Category VI,metal,cancion,Real Lies,2013,1IJYJc4t5VCmV7GrUgoyGM,0
Goresoerd,metal,cancion,Soerd,2013,5GL4gaDsH8X41hrpFnWH7E,0
Last Great Nation,metal,cancion,Uncivil Disobedience,2013,5GLKVuoZSW1rIMC2uKSfFt,0
Screaming Condors,metal,cancion,Comitter,2013,6GHS3aibSNROXOf08FmWhW,0
Enhet,metal,cancion,You Stand Alone,2013,6Q5bxZyu7bUAF9aUJUX19g,0
Гран-Куражъ,metal,cancion,Первый день осени - Live,2013,6C0CaaTh9v6OSr0HO3Ximp,0
PiroSaint,metal,cancion,Real Psychology (1996) [Live],2013,7yFbauuLjg1OCyvXwvjdCY,0
Madness of Sorrow,metal,cancion,The Death Crusade,2013,1dXugw6tEO5LptYFgo9I1b,0
Siege of Hate,metal,cancion,Beware What You Wish,2013,1wGLrJ83XjZtpb1wuGhY0m,0
Draugûl,metal,cancion,Bûrgûlob-Agh Ghaash,2013,0l0XD8Rkj7wIOh44c2hLfg,0
Fjoergyn,metal,cancion,Genesis 2.0,2013,5CxM9whkzWRHSL4WE9mLMO,0
Submerged,metal,cancion,Cannibal Holocaust (feat. Lethal and Khanage),2013,4rsZdqRvbluYVLCY8U76ZZ,0
Bleed The Man,metal,cancion,Walk Through My End,2013,7kEUH20ZUi3HV1eWPMBAKb,0
Lost Regrets,metal,cancion,The Role,2013,26rga3L3HAhZEGCGXH7NrR,0
Necroratory,metal,cancion,Call from the deep dark forest,2013,0Tfp9gOywtfDITjGtM2RJ7,0
Replikas,metal,cancion,Gulyabani Müzik - Remastered,2013,3LuZtQhR5ErWf4oLLE36m3,0
Majesty Of Revival,metal,cancion,Nameless Guest,2013,3JmEcoGWVOlaOPCx046YI0,0
Tagada Jones,metal,cancion,Manipulé - Live 2013,2013,2C7f1hVaxNldwitIumQr4P,0
Ankhalimah,metal,cancion,Radiant,2013,4a04Xjd3i9wJRW17YmPyps,0
Days Of Anger,metal,cancion,Filled of Hatred,2013,4MtNsOkds4r2Jl33F5h2RK,0
Gore Inhaler,metal,cancion,May Erection,2013,1kpnjw8Qk6QSJIp3Ba43Yv,0
David T. Chastain,metal,cancion,Within the Heat,2013,0MA78BeUuzQ10VBWbnXhJ7,0
Carlos Lichman,metal,cancion,Barghest,2013,15ER5Ha6zVuFCwAuHHA3o5,0
Imagine Iris,metal,cancion,A Fading of a Storm,2013,3N8XTtVuq4bd7uBnWvLqHm,0
Dobytci Mor,metal,cancion,Flesh Mills,2013,1MMICH7jLKiAALKYhWP5cR,0
Avhath,metal,cancion,Per Aspera Ad Astra,2013,1mjv1Z8n8KHQowoPAmJHs8,1
Replikas,metal,cancion,Eskişehir,2013,0T2UD5wfYwbw755HN5eFgR,0
Slavetrade,metal,cancion,Join the Revolution,2013,5nzFombmqYwaFx9MhWwVMq,0
Rotten Pork,metal,cancion,Sangre y Obsidiana.,2013,4OX4EsOUGOQ472AwiHlu7n,0
Reaktion,metal,cancion,Get Out - Hot Shit! Remix,2013,4ZyrGQKW3C6VVjDa11RInQ,1
Blood and Thunder,metal,cancion,Enthroned in Ice,2013,0BZDzrJb4Ci2oKvx3zKcRN,0
Angry Again,metal,cancion,The Ways to Rome,2013,3EuVBHDW7i7FuvKl5RoaZw,0
Dawn Vally,metal,cancion,Intro,2013,4hLXbmJGmojHKm4aBpShyT,0
End Of Aeon,metal,cancion,Too Late - Reimagined,2013,0hVxDRkEwc41a6KtkQpXso,0
Elliott's Keep,metal,cancion,Tale of Grief,2013,2cWUaRM4e6oy4OfStTk9C8,0
Komah,metal,cancion,One After Another,2013,5vUlBZIbMn56eVMTAHbgWo,0
In The Burial,metal,cancion,Bleeding the Innocent,2013,27UKJOu86hVYEWAByJAnZn,0
Flagellant,metal,cancion,Rousing the Serpent,2013,4KrRn5MpfelBzCMnMkQBpg,0
Blood of the Sun,metal,cancion,Rock Your Station - Alternative Version,2013,3lAXETPWb70TRVO0uquBBE,0
Reaper's Scythe,metal,cancion,Rise Up High,2013,5T7W91HHOErhpGjqcRYd4q,0
Mysteriis,metal,cancion,Tale from Forest,2013,0wtKNNNH908eTzcezXDi66,0
FrontSide,metal,cancion,Niewiadomy,2013,47Ev5RnWiAjjgSttYaUGCP,1
Avhath,metal,cancion,A Kind of Certainty,2013,0ns6qZ5VaXas6bI3s1huyH,3
Ancient Spheres,metal,cancion,Usuré,2013,2bDDFfOtVYFR1Gwaj1UgA6,0
Bravura,metal,cancion,Ignorância,2013,0Vcx4W2mrrViq9nL8gtwVx,0
Progressivexperience,metal,cancion,Madness off Illusion,2013,6hFlx4YmDMdPgrytmYEwu5,0
Screaming Condors,metal,cancion,Whiskey Storm,2013,7jKqiSGpSamkp3GmttG5ua,0
One Inch Giant,metal,cancion,Awaiting the Wave,2013,31prtsb5rK81RWlLgsimmP,0
Voin Grim,metal,cancion,I Fill The Twilight Sacrament,2013,3cCWbT7AvxivBgj2uscq3d,0
Spiral Fracture,metal,cancion,Dissonance,2013,7uLmokHhZyZ1WcD7UchDq0,0
Cult Of The Fox,metal,cancion,My Wrath Unleashed,2013,6vEWGAjYA0p4bBzDiswXHE,0
Komah,metal,cancion,Straight Line,2013,5QqSQJFWPM4wL9pcP5Kl19,0
Crowhurst,metal,cancion,Amerika Forever - Grimgrimgrim B-Side,2013,4lTvWyhsJcgAc7TisW19YO,0
Abrasantia,metal,cancion,More Than Anything,2013,3yDCXhkUnHnoiZWjPHAbZg,0
Uitzichtloos,metal,cancion,De Jacht,2013,4MVgffIYrpu0SsphqpQDyr,0
Human Services,metal,cancion,Shadows Change,2013,3VhBMOAeeaon0SKNr28IBG,0
MENDEKU ITXUA,metal,cancion,Ametsak Beltz,2014,6yk9u2pZPmtVJonrTsME5p,2
Habeas Corpus,metal,cancion,Actitud Libre y Sana,2014,2r9AEX3J9L2HB7Tp9afCEf,1
Después De Todo,metal,cancion,Resurrección,2014,0Vg1vfEHFoFFmwWTLR1w9W,2
Volbeat,metal,cancion,16 Dollars,2014,2jDTARSGqlmdTRecWzJJhk,1
Después De Todo,metal,cancion,Perdida En la Eternidad,2014,6O3JG7N7nA1Qo127n1Bige,0
Queens of the Stone Age,metal,cancion,No One Knows,2014,0xf4tnKdO9fwcuIwRvev42,0
Darknoise,metal,cancion,Soñaré,2014,7aAOhT2bj2TK5LYMUBJtz4,0
Medina Azahara,metal,cancion,La Voz del Poeta,2014,2g01FwkTwu2j8xvPJdSJF4,0
Después De Todo,metal,cancion,Hijos de un Dios Menor,2014,1lN8ZihbtuDCsFfM1lxFUZ,0
Lujuria,metal,cancion,Profanació,2014,1xeyVyF73LmBs8xSjyfVAk,0
Setge,metal,cancion,Fang I Setge,2014,3QeI2PpL2lMV4SCNzfzxiQ,0
No Guerra,metal,cancion,Aquellos Amigos de Algún Lugar (Bonus Track),2014,7H77dCmjC2nKCmZcQibXoN,1
Cold Times,metal,cancion,Lawless By Nature,2014,47knlL4UfRfasl7jpdwWHk,1
Oblivion,metal,cancion,Solitary Soul,2014,0oJB8zFZOQBG9atdo7K7qk,0
The Arcane Hate,metal,cancion,Blindfold,2014,28tzuyTO7LN39GW1PYi118,0
Barloventos,metal,cancion,Ya No Estas,2014,4y9AuahRbrg0Bcj6XpG6KU,1
Garrobos,metal,cancion,Rayados,2014,1DBvjggnx2stAW9sXuWwy9,8
Kapital,metal,cancion,Rock Tragedi,2014,7MeYVig7WL7iXhZrz2f3hJ,6
Cromlech,metal,cancion,Punished Innocence,2014,1Gs2ybg7nZ6XgCbyrRYNf3,0
Star Insight,metal,cancion,Poem of Misery,2014,5o0STnqiK27kKF15aTfh2Q,0
Xecsnoin,metal,cancion,Leaving Saudade,2014,3uxhi823Yk9Jonk3glPbNO,0
MORDiCUS,metal,cancion,Prêt à décoller,2014,4KwbJZ1keI4Sit0bijGHOO,0
Lord Byron,metal,cancion,The Sands of Time,2014,56LEbfmtQjjcz1V4h9E0DP,0
Seed,metal,cancion,Ragga Drop - Tino Breh Remix,2014,3gxzk5FSkMXLcG9s3EPf4T,0
Invertia,metal,cancion,The Sidewinding - Justin K Broadrick Remix,2014,569pQq02NDfPVoeDR6AwKy,0
Ebony Archways,metal,cancion,From The Depths I Call,2014,4IUkFRA6BACg8hmxVYQY3r,0
Asgrauw,metal,cancion,Uit Grauwe As Ontstaan,2014,1XwHRHLmmSfY9pGCQmimz0,0
Pearly White,metal,cancion,With You,2014,3akWZRl8Ar70lmeyQx1LDt,0
Headcrusher,metal,cancion,Peluru Kendali,2014,0qfEkUmkouCV9m9O4ZRIXC,1
Helker,metal,cancion,Helker,2014,33ZEeP01lGdMqNoCZWJsk1,1
Leprosy,metal,cancion,Sobrevivientes - En Vivo,2014,2uN6n8xeKU7ImEH3cVPkTf,2
Disparaged,metal,cancion,Change of Flesh,2014,4aBvcVU55JbNlrNA7RsDDS,0
Tenebrarum,metal,cancion,Struggle in Me,2014,6ZdQVSfIMapCk9QueYW3aD,1
Gates Of Eternity,metal,cancion,No Concession,2014,5VXldX8dZGR0y4O6fpaWel,1
Azziard,metal,cancion,Disgression,2014,0o9favXiJBwJlEkeMdh2wf,0
Envenomed,metal,cancion,Mechanical Enemy,2014,2XDq1hrJGYyhPnPnrXW3sR,1
Diktátor,metal,cancion,Ez Kell Nektek,2014,359hpS9j970rTTbbHp9EkU,0
Gaytheist,metal,cancion,Post Apocalyptic Lawsuit,2014,4xQSfh8ZrNEbbEq4w60CUV,0
The Morphean,metal,cancion,The Mass Infection,2014,7tyMqFLuR8DziGBc6POgYE,0
Transmetal,metal,cancion,Decorado Con Clavos - Remezclado y Remasterizado,2014,4Dmop8hof6Dhbac04ThkOH,2
Consecration,metal,cancion,Buried Alive,2014,6OMiHoUugrc2vMplSScPH1,0
Truth Be Known,metal,cancion,Misguidance,2014,1vsbPCtYY8nEpGNQCTOrZY,0
Jenna Eight,metal,cancion,FFF,2014,3HOUmpE4Lytdl9ixwwkok8,0
Bloodthirst,metal,cancion,Imaginary Reasons,2014,5wIqSCXX0Zaq760qUHbgDR,0
OBEY!,metal,cancion,Oração,2014,12KFHVlsSJ4gEjmiMCN2Hi,1
Pig Rectum,metal,cancion,Disestablishmentary Racist Messiahfuck,2014,3DUeDfFlC4y4RGVPOc7Q5j,0
Void of Reason,metal,cancion,Motion Sickness,2014,72IrD4JnuBp6USdMK8aZA3,0
Scandelion,metal,cancion,My Darkest Thoughts,2014,6xIAR4aygR603kTHwrUZhB,0
Flayed Disciple,metal,cancion,The Maniac,2014,7FKMgKHujy8KNnA0ehpib5,0
Exhumation,metal,cancion,All Seeing Eye,2014,0mveeGcjrDvNcuqTOw6XqU,2
Apron,metal,cancion,Der Letzte Akt,2014,1JGAV1nsIm6vDUaWZhFDIC,0
Histeria,metal,cancion,Oscuridad Perdida,2014,2zMshcfzYs08DT3KntQmbW,0
Amocualli,metal,cancion,Chalchiumeztli,2014,0Tzx3ghFfiPsiEX1rlXSEP,0
Embrace of Disharmony,metal,cancion,Dirge on a Soul Staring at the Stars,2014,35AATNSLizM9Et7WzSlk4A,0
Abandoned Elysium,metal,cancion,"Dark Hallways, Open Skies",2014,3yn6eTOSFf330E8lytM2Ct,0
Transmetal,metal,cancion,Sufrimiento Químico - En Vivo,2014,1TVNMbbZuc83kKchqFtKzu,2
Power Praise,metal,cancion,Fé,2014,7eR67IaGT5q1o37TcB5lFk,4
Sethirus,metal,cancion,Faces in the Sand,2014,2cE7ExG6eerkmfVEAffWIm,0
Adonis Muerto,metal,cancion,Apertura de la Boca,2014,7GRFvo22FiESLoQgGrdpC9,0
The Black Passage,metal,cancion,Das Streben Ins Nichts,2014,6GHuqKmR7E39XibJ1dJ9xf,0
Joseph A. Peragine,metal,cancion,Washing Dishes,2014,3gz5Ap729DxrG8fJDEM8ak,0
Crowhurst,metal,cancion,Fuck You Ringo,2014,1I9Fxoi9AmPAt335oMXzST,0
Confess,metal,cancion,Unormal,2014,5nXwG66MOM5xzGdYKfij1a,0
Антарес,metal,cancion,Ворота спели на дорогу,2014,0bWwvHodcgTKbB9uAiBEx3,0
Nunslaughter,metal,cancion,In the Graveyard,2014,6yMQpl0FqXc7wkSnqKQyfC,0
Amocualli,metal,cancion,Ejekakiauitlani,2014,0SzHz5bYZ7GELPHvV11aIp,0
Animals Killing People,metal,cancion,Cloaked in Carrion - Bonus,2014,27DihPn8mXddRrTmIvB9ud,0
Fist Fight in the Parking Lot,metal,cancion,Side Stepping Ninja,2014,3oWiL5QPIXXSBXJGGL7jtf,0
War-Head,metal,cancion,Return to Myself,2014,0A7eUg2Sx43jm25I86LaAi,0
Morphosis,metal,cancion,Plight Of The Fallen Ones,2014,3d0bmvB6rzBSa6k2MrxJdJ,0
System Horizon,metal,cancion,Absolute Zero,2014,2rpLPmhHrlocycskU19ni3,0
Flashback Of Anger,metal,cancion,Hiroshima & Nagasaki (Is This Mankind?),2014,6GDIcQvvK1OqSYxBhIiqFk,0
Hellvetica,metal,cancion,Take Back My Life,2014,1vekjeGojSXTgQn5iqMWNJ,0
Aspid,metal,cancion,Avanzando de Espaldas,2014,326UjszNKWDBIUsTFxGGCj,0
To Set Ablaze,metal,cancion,Eighty-Eight,2014,4ErP15qCIW12tZuGuX76hM,0
Choronzon,metal,cancion,Heksene På Lyderhorn - Remaster,2014,5PuhC1QuoFruKs4dhBosQn,0
Ripping Flesh,metal,cancion,The Arrival Of Chaos,2014,4pi6TN0Mytvfb114iFKqIi,0
Rakoth,metal,cancion,Lineage,2014,1ec6b2QQGWxQCxs34g0nhX,0
Solace of Requiem,metal,cancion,Pools of Ablation,2014,5cQXKuGYsWurcRTf33KjqN,0
Phronesis,metal,cancion,Urban Control,2014,1eUy8kHAFADOoRrKEH7OEn,0
Sudden Rage,metal,cancion,Intro,2014,4aAwLuLGSVOz1pAItNBLpg,0
NeverWorld,metal,cancion,Wheel of Misfortune,2014,2bhRVd0AG8flhRIbh0beA5,0
Eternal Voyager,metal,cancion,This Is War!,2014,0kB1HfXTU9WSgkKcMUxyzt,0
Obtus,metal,cancion,Campo Minado,2014,3Wn6UCq9dz6own5KcHkxA9,0
Negative Face,metal,cancion,Pán Zrcadel,2014,0EItGrceFS4d1daRl8BOGU,0
With All My Hate,metal,cancion,Genetic Aberration,2014,5GZU6Hb3sGfGfBlhm00sTJ,0
Havenless,metal,cancion,Prelude,2014,6vJm9oJZJZUM7RZy5yGCWQ,0
Vox Mortem,metal,cancion,The Agnostic,2014,1OEMsLcyPnWqo9Y4drmtQN,0
Cursed Sun,metal,cancion,The Seven,2014,2hndde0BZdKh6Wi4oQcz62,0
My Dying Faith,metal,cancion,Ashes Embrace,2014,3ldzqYiRK9pw0iXRAaLJAi,0
Aonia,metal,cancion,Echoes,2014,5OZSWnWPKDNWzbKjTgsVq5,0
The Unchaining,metal,cancion,Lord of the Autumnal Mist,2014,34mO4kvzqVelUbuoylqERK,0
Hollow,metal,cancion,Vlad,2014,5OaqrYOd89h3y2QRtSpPCM,0
Black Sachbak,metal,cancion,Smoke Hash,2014,3LRBMHUuyaAdF2RFIO0pfW,0
Nyksta,metal,cancion,Leistis,2014,0XzvaZ64e60wHOMeVIxOZ1,0
Mourn Them,metal,cancion,Awoken to Smoke in the Woods,2014,0USaqUTZFDJbv3gWtiXJHa,0
Del Oeste,metal,cancion,Amigos Del Día,2014,4uzb2dEibierkbDwuszubO,0
Anabioz,metal,cancion,Dance Dance,2014,6lGCZWaVIPSmyna6BaQMw2,0
Dagor Dagorath,metal,cancion,Sign of Kain,2014,3qmEdNleDmU8U0IhGGD4z8,0
Infection,metal,cancion,Worse Than Being Dead,2014,4oD6WiQLz5sFagRaFzLvcs,0
XXL,metal,cancion,H2O,2015,4qUKeCun1urX0dYDpjvrTe,1
Hira,metal,cancion,Doinu Berrien Bila,2015,1xsnVJAMYuhwPSjc7sBgyc,1
Mojinos Escozios,metal,cancion,¡Sí se puede!,2015,4XCIZprYGwwSp128P6cZMb,0
Teksuo,metal,cancion,The Swarm - ANWTB Version,2015,7D8eyxliyZvMfaHE73OTKo,0
Atlas,metal,cancion,El Imperio de la Ley,2015,7ljQz53c2xzCARGKyTKjV4,0
Hira,metal,cancion,Doinu berrien bila,2015,6KwyCetReY6gqVigVB4Qrp,1
Skunk D.F.,metal,cancion,Ícaro (Live),2015,5o896HqEuTDxPUH5sQVGs9,1
Abramelin,metal,cancion,Cannibal Apocalypse,2015,7GV8jd2OsTmXL0Mr7J8bW0,0
OTRA CARA,metal,cancion,Frente a frente,2015,79j5fD6U9xW4svbLSGQfy5,0
Cold Times,metal,cancion,Above It All,2015,1LeSS5b8eS4f2K4vpKl2Kb,0
Insaniam,metal,cancion,Sensory Dawn of Release,2015,5IPb2lcrU8S6tmbzVOOORZ,0
Mad Dragzter,metal,cancion,Sons of Thunder,2015,1p8W0l2NsxMOJmJct15wXB,5
Evil Conspiracy,metal,cancion,Scars with Pride,2015,6PDDzEnyzlwAnT9PmCgQIs,0
OJM,metal,cancion,Theorem,2015,57kDktav1o0AjOloOzZpwT,0
Liar Symphony,metal,cancion,The Crowning of the Night,2015,7y2dqZHcIXKCkI7ipR9iqj,1
Larva,metal,cancion,La Razón de Lo Que Soy (Orquesta Instrumental),2015,24C9VLRkmCWU5QM7eX3dwV,2
Yoğun Bakım,metal,cancion,Son Nefes,2015,2px5AmtH7Tur9S55ybJe4z,2
Absolutus,metal,cancion,Pugnare in Iis Quae Obtinere Non Possis,2015,4ITVrhj4Nn0M1fYw0hAGnj,0
Nervous Impulse,metal,cancion,The Last Call,2015,63MBhLLfaxQLXPlXzAAqPW,0
Funus Evoke,metal,cancion,Alma Muerta,2015,0f8sfiuFsgyTj6oF8Sic4u,3
Serpentor,metal,cancion,Sentenciado a la Calle,2015,6yVyJW5vz1EeUiaow70qcT,0
Sempta,metal,cancion,Apocalipse: Capítulo Final,2015,0VcOejIh6cY27l6PueV3H0,2
The Killing Hours,metal,cancion,The Denied,2015,4UYUe1ShQ4UtFs29d6XTaq,0
Killson,metal,cancion,No One Man,2015,0rpVj2cCISiVjMOR80urJ9,0
Of Noah,metal,cancion,Epitome III,2015,2JCjFnxk2fysi0ZlPICnRA,0
Kilter,metal,cancion,Hole in Heart,2015,2n19dkghX5lGD0ZoH8Vp0N,0
St. Prostitute,metal,cancion,Scream,2015,4lPX6DZinVFGsEj5up0KvU,0
Wage War,metal,cancion,Twenty One,2015,2fcZFSELXjprlgpZxovd3Y,1
Nuclear,metal,cancion,Waging War,2015,130GXoKArjI2GrViiYf2bo,0
ILIOS THANATOU,metal,cancion,Θρήνος,2015,3iDlZNuMNjG8z25aqIhhtl,0
Awaiting Ezkaton,metal,cancion,Goliath,2015,3uxc5v657Iv1rnf7bSHkPn,0
Triaxis,metal,cancion,Death Machine,2015,7kbzclYUaZlP4fuT1kjbj5,0
Thrunda,metal,cancion,Poluição,2015,72mndijjsLOwtLa4zn9Nds,0
Vardan,metal,cancion,The Cry of Dying Forests,2015,15F3VsY4bYWmxbUgYlHWiv,0
Inquisidor,metal,cancion,It's Too Late,2015,2zMkwkRe6vJqoLdABo2ROE,0
Bankeray,metal,cancion,Blarrr,2015,1CJJDHmLqsuLOelg8dZimT,1
Mons Lvnae,metal,cancion,The Nameless Headstone,2015,02Wq1KUdoK2707wpxrY2MQ,0
Cosmivore,metal,cancion,Breathing Fire,2015,6ba81QETA32MET2Idou1sc,0
Hocico,metal,cancion,In the Name of Violence,2015,4rWaMfwStRoxdpdhJKeWLv,0
Screaming Condors,metal,cancion,Comitter,2015,4J6uY2D0NHAAIAhpPExg18,0
Antonello Giliberto,metal,cancion,Endless Labyrinth,2015,5U5l96b51wJzfFyn1wkXE1,0
De Profundis,metal,cancion,Beyond The Threshold,2015,5t8k3VmJSqmDPc9UPlji3Y,0
Army of Dagon,metal,cancion,Ruins,2015,56KwlqmvLmaaXnOFiOgeBR,0
Midriff,metal,cancion,Mind's Health,2015,65CfCG3XlFDuIiaJMXpRHR,0
Victim Mentality,metal,cancion,Bandit,2015,3mqVRtjO2ygUP4jl9ysitr,0
Pile of Priests,metal,cancion,Akeru,2015,7nOpLG6Ajp7hUTZqaofuQa,0
A Crime of Passion,metal,cancion,The Desolation,2015,2DXTM7A9j0yTwxhBv4ORQr,0
Black Medicine,metal,cancion,MISDIRECTED RAGE,2015,19pC3sqLQFr9Q3CdTrY0Fk,0
Salvation,metal,cancion,Inno in Senses,2015,3uz6PceSV4lFrgYHgckSdz,0
Formally Lethargic,metal,cancion,The Primacy of Practicality,2015,3NZ00HmSh78PRTgOEISFQT,0
Transmetal,metal,cancion,La Horca,2015,09kCS1Hq7lh7KiEp7q2lhW,0
Khepri,metal,cancion,All I Am,2015,14u5SCtZ4ArZVynss9DFZ0,0
Awakening the Revenant,metal,cancion,Infection,2015,4D1XlUyCdNnZeAOVqdUQQE,0
Ogotay,metal,cancion,Axis Mundi,2015,58u7BhtWgF1FZmyFG7sgQw,0
